                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,           val/ave_loss,                   mIOU,         train/ave_loss,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                      0,                  4.514,                 4.2653,                 4.0812,                0.00416,                0.15602,                0.00463,                0.00126,                 4.8833,                 4.0801,                  4.088,                 0.3667,                0.49921,                0.54717,                 10.675,                0.16591,             0.00054805,             0.00054805,             0.00054805,             0.00054805
                      1,                 3.5911,                 3.4484,                 3.4964,                0.10292,                0.21817,                0.07324,                0.02355,                 3.2877,                 3.1869,                 3.1745,                0.16333,                0.49922,                0.26887,                 10.675,                 0.1785,              0.0010964,              0.0010964,              0.0010964,              0.0010964
                      2,                 3.2709,                 3.1332,                 3.1222,                0.15702,                0.18797,                0.09779,                0.03345,                 2.9462,                 2.8104,                 2.8937,                 0.0488,                0.49922,               0.088757,                 10.675,                0.18583,              0.0016375,              0.0016375,              0.0016375,              0.0016375
                      3,                 3.0085,                 2.9217,                 2.8935,                0.19756,                0.23703,                0.14811,                0.05456,                 2.6975,                 2.6651,                 2.7007,                0.03259,                0.49922,               0.035152,                 10.675,                0.18566,               0.001634,               0.001634,               0.001634,               0.001634
                      4,                 2.8243,                 2.7093,                 2.7142,                0.32018,                0.35579,                0.29131,                0.11927,                 2.5625,                 2.4244,                 2.5618,                0.02773,                0.49922,               0.021812,                 10.675,                0.18076,               0.001634,               0.001634,               0.001634,               0.001634
                      5,                 2.6104,                 2.4577,                 2.5445,                0.33002,                0.39835,                0.33457,                0.15038,                 2.3776,                 2.1082,                 2.3908,                0.02124,                0.49922,               0.018687,                 10.675,                0.17338,               0.001623,               0.001623,               0.001623,               0.001623
                      6,                 2.4198,                  2.231,                 2.3941,                0.29762,                0.48233,                0.34497,                0.14817,                 2.2763,                 1.9703,                 2.3506,                 0.0222,                0.49922,               0.018085,                 10.675,                0.16465,               0.001612,               0.001612,               0.001612,               0.001612
                      7,                 2.2779,                 2.0617,                 2.2614,                0.35326,                0.52482,                0.44154,                0.22592,                 1.9968,                 1.8454,                 2.0907,                0.01964,                0.50022,               0.016504,                 10.675,                0.15512,               0.001601,               0.001601,               0.001601,               0.001601
                      8,                 2.1692,                 1.9686,                 2.1682,                0.39429,                0.55429,                0.42806,                0.23029,                 1.9594,                 1.8106,                 2.0683,                0.01831,                0.54795,                0.01569,                 10.675,                0.14377,                0.00159,                0.00159,                0.00159,                0.00159
                      9,                 2.0739,                  1.859,                 2.0723,                0.40241,                0.57258,                0.44892,                0.26024,                 1.9197,                 1.7289,                 1.9908,                 0.0199,                0.57782,               0.014385,                 10.675,                0.13193,               0.001579,               0.001579,               0.001579,               0.001579
                     10,                 1.9587,                 1.7522,                 1.9787,                0.43329,                0.60253,                0.46578,                0.25386,                 1.8762,                 1.6605,                 1.9404,                 0.0188,                0.61733,               0.013757,                 10.675,                0.11912,               0.001568,               0.001568,               0.001568,               0.001568
                     11,                  1.906,                 1.6687,                 1.9131,                0.48761,                 0.6222,                0.55151,                0.32965,                 1.7106,                  1.502,                 1.8122,                0.01434,                0.63212,               0.012816,                 10.675,                0.10538,               0.001557,               0.001557,               0.001557,               0.001557
                     12,                  1.857,                  1.599,                 1.8585,                0.46261,                0.65668,                0.52175,                0.31655,                 1.7746,                 1.5199,                 1.8368,                0.01825,                0.60763,                0.01196,                 10.675,               0.092964,               0.001546,               0.001546,               0.001546,               0.001546
                     13,                 1.8155,                 1.5752,                 1.8063,                0.52977,                0.59322,                0.54824,                0.31345,                  1.761,                 1.5812,                 1.8509,                 0.0135,                0.64426,               0.011533,                 10.675,               0.087539,               0.001535,               0.001535,               0.001535,               0.001535
                     14,                 1.7851,                 1.5543,                 1.7867,                0.46971,                0.57075,                0.52919,                0.30609,                 1.7836,                 1.6524,                 1.8486,                0.01221,                0.64254,               0.012011,                 10.675,               0.085389,               0.001524,               0.001524,               0.001524,               0.001524
