                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,           val/ave_loss,                   mIOU,         train/ave_loss,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                      0,                 3.5645,                 4.3191,                 5.4855,                0.00402,                0.14308,                0.00248,                0.00064,                   3.79,                  4.092,                 5.5244,                0.65088,                0.49819,                0.56314,                 10.675,                0.16429,             0.00032883,             0.00032883,             0.00032883,             0.00032883
                      1,                 2.9388,                 3.5882,                 4.7499,                0.09336,                0.02337,                 0.0124,                0.00326,                 3.1751,                 3.7287,                  4.881,                0.24768,                0.49922,                0.32045,                 10.675,                0.17549,             0.00065786,             0.00065786,             0.00065786,             0.00065786
                      2,                 2.7077,                 3.2433,                 4.2924,                0.17554,                 0.1718,                0.08124,                0.02771,                 2.5141,                 2.9757,                 4.1447,                0.09656,                0.49922,                0.15209,                 10.675,                0.18337,             0.00098249,             0.00098249,             0.00098249,             0.00098249
                      3,                 2.5146,                 3.0585,                 4.0126,                0.16998,                0.22015,                0.11707,                0.04447,                 2.2672,                 2.7247,                  3.758,                0.04852,                0.49922,               0.063534,                 10.675,                0.18528,              0.0013027,              0.0013027,              0.0013027,              0.0013027
                      4,                 2.3822,                 2.9166,                 3.8089,                0.20114,                0.27199,                0.17464,                0.07273,                 2.1765,                 2.5278,                 3.6091,                0.03671,                0.49922,               0.033299,                 10.675,                0.18211,              0.0016185,              0.0016185,              0.0016185,              0.0016185
                      5,                 2.3147,                 2.7709,                 3.6521,                0.33918,                0.31681,                0.25962,                0.11496,                 2.0881,                 2.3941,                 3.4349,                0.03198,                0.49922,               0.024901,                 10.675,                0.17534,               0.001612,               0.001612,               0.001612,               0.001612
                      6,                 2.2254,                 2.6306,                 3.5023,                0.29015,                0.35502,                0.25478,                0.11562,                  2.009,                 2.3566,                 3.3464,                0.02367,                0.49924,               0.021224,                 10.675,                0.16537,               0.001612,               0.001612,               0.001612,               0.001612
                      7,                 2.1595,                 2.4721,                 3.3468,                0.35907,                0.42951,                0.32288,                0.14552,                 1.9467,                 2.2166,                  3.168,                0.02193,                0.51777,               0.017903,                 10.675,                0.15427,               0.001601,               0.001601,               0.001601,               0.001601
                      8,                 2.0754,                  2.367,                 3.1957,                0.35469,                0.42294,                 0.3561,                0.15535,                 1.9593,                 2.1549,                 3.1812,                0.02138,                0.53566,               0.017868,                 10.675,                0.14212,                0.00159,                0.00159,                0.00159,                0.00159
                      9,                 2.0167,                 2.2169,                 3.0697,                0.40656,                0.42328,                0.39977,                0.19627,                 1.8226,                 2.0251,                 2.9329,                 0.0204,                0.53577,               0.017297,                 10.675,                0.12906,               0.001579,               0.001579,               0.001579,               0.001579
                     10,                 1.9311,                 2.0883,                 2.9063,                0.35935,                0.50892,                0.39241,                0.19242,                 1.7966,                 1.9595,                 2.8462,                0.01802,                0.52749,               0.017669,                 10.675,                0.11536,               0.001568,               0.001568,               0.001568,               0.001568
                     11,                  1.864,                 1.9837,                 2.8079,                0.44554,                0.48306,                0.47452,                0.24494,                 1.7139,                 1.7789,                 2.7014,                0.01709,                0.54633,               0.015614,                 10.675,                0.10092,               0.001557,               0.001557,               0.001557,               0.001557
                     12,                 1.8226,                 1.9011,                 2.7112,                 0.4884,                0.58681,                0.48856,                0.28088,                 1.6596,                 1.7166,                 2.5944,                0.02229,                0.54012,               0.014409,                 10.675,               0.090925,               0.001546,               0.001546,               0.001546,               0.001546
                     13,                 1.7847,                  1.854,                 2.6411,                0.49664,                0.50956,                0.50871,                  0.287,                 1.6584,                 1.7386,                  2.579,                0.01527,                0.58101,               0.014228,                 10.675,               0.086976,               0.001535,               0.001535,               0.001535,               0.001535
                     14,                 1.7597,                  1.804,                 2.5935,                0.47276,                0.52128,                0.51002,                0.29258,                  1.581,                 1.6391,                 2.4581,                0.01553,                0.59103,               0.014415,                 10.675,               0.085318,               0.001524,               0.001524,               0.001524,               0.001524
                     15,                 1.7138,                 1.7177,                 2.5102,                0.53805,                0.55338,                0.57236,                 0.3358,                 1.5265,                 1.5873,                 2.3977,                0.01434,                0.61991,               0.013135,                 10.675,               0.084764,               0.001513,               0.001513,               0.001513,               0.001513
                     16,                 1.6929,                 1.6973,                 2.4525,                0.56787,                0.54043,                0.57443,                0.33687,                 1.5668,                 1.5519,                 2.3473,                 0.0163,                0.62406,               0.012476,                 10.675,               0.084546,               0.001502,               0.001502,               0.001502,               0.001502
                     17,                 1.6601,                 1.6456,                 2.4139,                0.57432,                0.55429,                0.59329,                0.35684,                 1.4702,                 1.4969,                 2.2685,                0.01534,                0.64317,                0.01228,                 10.675,                0.08446,               0.001491,               0.001491,               0.001491,               0.001491
                     18,                 1.6125,                 1.5987,                 2.3427,                0.56073,                0.56935,                 0.5881,                0.33008,                  1.581,                  1.517,                  2.376,                0.01543,                 0.6471,               0.012234,                 10.675,               0.084426,                0.00148,                0.00148,                0.00148,                0.00148
                     19,                 1.6138,                 1.5904,                  2.327,                0.53814,                0.55016,                 0.5826,                 0.3497,                 1.5034,                 1.5036,                 2.2253,                0.01515,                0.64717,                0.01218,                 10.675,               0.084413,               0.001469,               0.001469,               0.001469,               0.001469
                     20,                 1.5866,                  1.563,                 2.2843,                0.57631,                0.62956,                0.61904,                 0.3715,                 1.4503,                 1.4511,                  2.204,                0.01434,                0.64867,               0.011778,                 10.675,               0.084408,               0.001458,               0.001458,               0.001458,               0.001458
                     21,                 1.5786,                 1.5262,                 2.2804,                0.55839,                0.61405,                0.62657,                 0.3825,                  1.434,                 1.3192,                 2.1366,                0.01488,                0.65019,               0.011988,                 10.675,               0.084406,               0.001447,               0.001447,               0.001447,               0.001447
                     22,                 1.5478,                 1.5039,                 2.2226,                0.62946,                0.62002,                0.64563,                0.40267,                 1.4021,                  1.337,                 2.0821,                0.01476,                0.61832,               0.011495,                 10.675,               0.084405,               0.001436,               0.001436,               0.001436,               0.001436
                     23,                 1.5308,                 1.4866,                 2.2188,                0.62236,                0.60262,                0.65401,                0.41563,                 1.3795,                 1.2919,                 2.0604,                0.01446,                0.65961,               0.013958,                 10.675,               0.084405,               0.001425,               0.001425,               0.001425,               0.001425
                     24,                 1.5008,                 1.4391,                 2.1631,                0.58712,                0.64334,                0.66755,                0.41742,                 1.4242,                 1.2785,                 2.0723,                0.01833,                0.65941,               0.010986,                 10.675,               0.084405,              0.0014139,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.4904,                 1.4198,                  2.146,                0.64651,                0.64999,                0.69199,                0.45079,                 1.3126,                 1.2279,                 1.9881,                0.01636,                0.65791,               0.010883,                 10.675,               0.084405,              0.0014029,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.4584,                 1.3845,                 2.1004,                0.63154,                0.66366,                0.69065,                 0.4338,                 1.3463,                  1.245,                 2.0017,                0.01537,                0.65876,              0.0097509,                 10.675,               0.084405,              0.0013919,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.4795,                 1.4044,                 2.1164,                0.59945,                0.67167,                0.67684,                0.43713,                 1.3141,                 1.1676,                  1.958,                0.01311,                0.65907,              0.0099369,                 10.675,               0.084405,              0.0013809,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.4705,                 1.3624,                 2.0902,                0.69088,                0.65134,                0.72013,                0.47055,                 1.3132,                 1.1906,                 1.9468,                0.01654,                0.66984,               0.010129,                 10.675,               0.084405,              0.0013699,              0.0013699,              0.0013699,              0.0013699
                     29,                 1.4343,                 1.3338,                  2.057,                0.63478,                0.68589,                0.71683,                0.46672,                  1.297,                 1.1546,                 1.9219,                0.01543,                0.64675,               0.010261,                 10.675,               0.084405,              0.0013589,              0.0013589,              0.0013589,              0.0013589
