                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,           val/ave_loss,                   mIOU,         train/ave_loss,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                      0,                 3.4939,                 4.2555,                 5.4219,                0.00405,                0.14784,                0.00244,                0.00064,                 3.8029,                 4.1219,                 5.5438,                0.61084,                0.49822,                0.54097,                 10.675,                0.16628,             0.00054805,             0.00054805,             0.00054805,             0.00054805
                      1,                 2.8266,                 3.3431,                 4.5648,                0.03978,                0.05845,                0.01099,                0.00318,                 3.3152,                 3.9903,                 5.0689,                0.16345,                0.49922,                 0.2571,                 10.675,                0.17867,              0.0010964,              0.0010964,              0.0010964,              0.0010964
                      2,                 2.5551,                 3.0379,                  4.119,                0.25825,                0.24546,                 0.1591,                 0.0578,                 2.3117,                 3.2656,                 3.8818,                0.05521,                0.49922,               0.081692,                 10.675,                0.18546,              0.0016375,              0.0016375,              0.0016375,              0.0016375
                      3,                  2.368,                 2.8178,                 3.8541,                0.19197,                 0.2497,                0.15208,                0.05973,                 2.1336,                 2.6062,                 3.6255,                 0.0291,                0.49922,               0.031484,                 10.675,                0.18463,               0.001634,               0.001634,               0.001634,               0.001634
                      4,                 2.2395,                 2.5844,                   3.65,                0.23985,                0.39752,                 0.2803,                 0.1242,                 2.0449,                  2.309,                 3.4735,                0.02312,                0.49922,               0.020217,                 10.675,                0.17918,               0.001634,               0.001634,               0.001634,               0.001634
                      5,                 2.1206,                 2.4159,                 3.5169,                0.20759,                0.45037,                0.20644,                0.09313,                 1.9581,                   2.55,                 3.4288,                0.01836,                0.54749,               0.017479,                 10.675,                0.17133,               0.001623,               0.001623,               0.001623,               0.001623
                      6,                 2.0176,                 2.2491,                 3.3826,                0.39691,                0.51038,                0.38034,                0.18925,                 1.8574,                 2.0877,                 3.2764,                0.01855,                0.54903,               0.016319,                 10.675,                0.16215,               0.001612,               0.001612,               0.001612,               0.001612
                      7,                 1.9205,                 2.1102,                 3.2128,                 0.3857,                0.39593,                0.34375,                0.17792,                 1.8841,                 2.2074,                 3.2297,                0.02437,                0.52219,               0.015069,                 10.675,                0.15213,               0.001601,               0.001601,               0.001601,               0.001601
                      8,                 1.8417,                  2.028,                 3.1229,                0.58483,                0.40525,                0.47565,                0.24979,                 1.6871,                 1.8018,                 2.9619,                0.01625,                0.58219,                0.01509,                 10.675,                0.14028,                0.00159,                0.00159,                0.00159,                0.00159
                      9,                 1.7763,                 1.9524,                 3.0034,                0.43712,                0.49916,                0.44552,                0.24764,                 1.6937,                 2.0301,                 2.9891,                0.01437,                0.58488,               0.014207,                 10.675,                0.12802,               0.001579,               0.001579,               0.001579,               0.001579
